PAGEID,Location,Region,Quality,Time Rating,Technical Rating,Water Rating,Risk Rating,Min Time,Max Time,Hike,Permits,URL,Longest,Shuttle,Vehicle,Latitude,Longitude,Months,Jump,Min Rappels,Max Rappels
18285,Sansapu Khola (Lower),Mid-Western Nepal,4.1,II,4.0,B,,0.0833 h,8 h,,No,https://ropewiki.com/Sansapu_Khola_(Lower),147.638,0 minutes,,28.365,84.41,"['Feb', 'Mar']",0,0,0
18286,Raindu Khola,Mid-Western Nepal,4.0,III,4.0,B,,4.667 h,6 h,,No,https://ropewiki.com/Raindu_Khola,196.85,0 minutes,,28.375555555556,84.393333333333,"['May', 'Jun', 'Oct', 'Nov']",0,0,0
18287,Syange Khola,Mid-Western Nepal,4.0,III,4.0,C1,R,6 h,7 h,,No,https://ropewiki.com/Syange_Khola,229.659,0 minutes,,28.385833333333,84.400555555556,"['Feb', 'Mar', 'Apr']",0,0,0
18284,Gopte Khola,Mid-Western Nepal,3.3,II,4.0,A,,3 h,,,No,https://ropewiki.com/Gopte_Khola,229.659,0 minutes,,28.346388888889,84.399166666667,"['May', 'Jun', 'Oct', 'Nov']",0,0,0
18283,Kabindra Khola,Mid-Western Nepal,3.0,II,3.0,B,,2.583 h,4 h,,No,https://ropewiki.com/Kabindra_Khola,131.234,0 minutes,,28.330277777778,84.397777777778,"['May', 'Jun', 'Oct', 'Nov']",0,0,0
18277,Haadi Khola,Central Nepal,4.0,II,4.0,A,,4 h,4.083 h,,No,https://ropewiki.com/Haadi_Khola,196.85,0 minutes,,27.800277777778,85.915,"['Feb', 'Mar', 'Jun', 'Oct', 'Nov', 'May', 'Jul', 'Aug', 'Sep']",0,0,0
18276,Jombo Khola,Central Nepal,4.0,II,3.0,B,,3 h,3.083 h,,No,https://ropewiki.com/Jombo_Khola,131.234,0 minutes,,27.816111111111,85.883611111111,"['Feb', 'Mar', 'Jun', 'Jul', 'Aug', 'Sep', 'May', 'Oct', 'Nov']",0,0,0
51828,Aling-Aling,Bali,5.0,II,4.0,C,PG,,,,Yes,https://ropewiki.com/Aling-Aling,,,Passenger,-8.1741666666667,115.10611111111,"['Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov', 'Dec']",0,0,0
41077,Kalimudah,Bali,5.0,,3.0,B,,,,,No,https://ropewiki.com/Kalimudah,,,,-8.1941666666667,115.13527777778,,0,0,0
41078,Kerenkali,Bali,5.0,,4.0,C,,,,,No,https://ropewiki.com/Kerenkali,,,,-8.1875,115.13277777778,,0,0,0
65347,Yeomjugol,South Korea,5.0,III,3.0,C,PG,,,,No,https://ropewiki.com/Yeomjugol,,,,38.1575,128.47,,0,0,0
18280,Fangfung Khola,Central Nepal,4.9,III,4.0,C,R,5 h,7 h,,No,https://ropewiki.com/Fangfung_Khola,196.85,0 minutes,,27.870277777778,85.940833333333,"['Feb', 'Mar', 'Jan']",0,0,0
18288,Boxi Khola,Mid-Western Nepal,4.5,IV,4.0,C,X,12 h,14 h,,No,https://ropewiki.com/Boxi_Khola,229.659,0 minutes,,28.2325,84.874722222222,"['Feb', 'Mar', 'Apr']",0,0,0
18291,Jagat Khola,Mid-Western Nepal,4.5,IV,4.0,C1,R,14 h,15 h,,No,https://ropewiki.com/Jagat_Khola,196.85,0 minutes,,28.421111111111,84.414444444444,,0,0,0
18290,Nauli Khola,Mid-Western Nepal,4.5,III,4.0,C,,7 h,8 h,,No,https://ropewiki.com/Nauli_Khola,164.042,0 minutes,,28.373333333333,84.438333333333,,0,0,0
18292,Tal Khola,Mid-Western Nepal,4.5,III,4.0,C,,7 h,8 h,,No,https://ropewiki.com/Tal_Khola,229.659,0 minutes,,28.468888888889,84.374444444444,,0,0,0
18293,Tarwali Khola,Mid-Western Nepal,2.7,I,3.0,B,,1.833 h,2.083 h,,No,https://ropewiki.com/Tarwali_Khola,114.829,0 minutes,,28.3875,84.404166666667,,0,0,0
18281,Tangtung Khola,Central Nepal,4.2,III,4.0,B,,5 h,6 h,,No,https://ropewiki.com/Tangtung_Khola,164.042,0 minutes,,27.381388888889,86.005833333333,,0,0,0
18275,Bundiba Khola,Central Nepal,4.0,II,3.0,B,,3 h,3.333 h,,No,https://ropewiki.com/Bundiba_Khola,164.042,0 minutes,,27.381388888889,86.005833333333,,0,0,0
18165,Di Shui Tan,Guizhou,4.0,III,4.0,C1,R,5.5 h,6 h,,No,https://ropewiki.com/Di_Shui_Tan,196.85,15 minutes,,25.943333333333,105.63888888889,['Apr'],0,0,0
52413,Gadherni Nala,Himachal Pradesh,4.0,III,3.0,C,R,5 h,8 h,1.243 mi,No,https://ropewiki.com/Gadherni_Nala,230.0,,Passenger,32.210833333333,77.170277777778,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,11,14
65353,"Guryong Falls, Sogeumgang",South Korea,4.0,II,3.0,C1,,,,,Closed,"https://ropewiki.com/Guryong_Falls,_Sogeumgang",,,,37.813333333333,128.70527777778,,0,0,0
18278,Kabre Khola,Central Nepal,4.0,II,3.0,B,,3 h,3.25 h,,No,https://ropewiki.com/Kabre_Khola,98.425,0 minutes,,27.800277777778,85.915,"['Feb', 'Mar', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct']",0,0,0
18289,Kalenja Khola,Mid-Western Nepal,4.0,IV,3.0,B,,8.5 h,9 h,,No,https://ropewiki.com/Kalenja_Khola,131.234,0 minutes,,28.2325,84.874722222222,"['Feb', 'Mar', 'Apr']",0,0,0
41653,Malishan,Taiwan,4.0,,4.0,C1,R,,,,No,https://ropewiki.com/Malishan,295.276,,,22.627222222222,120.30138888889,,0,30,30
63977,Montaneza Falls (Cebu Philippines),Asia,4.0,III,3.0,C2,,,,2.5 mi,No,https://ropewiki.com/Montaneza_Falls_(Cebu_Philippines),100.0,0 minutes,Passenger,9.6813888888889,123.34555555556,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,4,5
10284,Ng Tung Chai - Ng Tung River,Hong Kong,4.0,III,3.0,B,,,,3 mi,No,https://ropewiki.com/Ng_Tung_Chai_-_Ng_Tung_River,196.85,,Passenger,22.423055555556,114.13111111111,"['Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct']",0,3,3
64383,Sampao River (Biliran Philippines),Asia,4.0,III,3.0,C2,PG,,,,No,https://ropewiki.com/Sampao_River_(Biliran_Philippines),130.0,0 minutes,Passenger,11.6375,124.445,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,7,8
50140,Sandhan Valley,Maharashtra,4.0,III,3.0,C,,,,,No,https://ropewiki.com/Sandhan_Valley,80.0,0 minutes,High Clearance,19.5175,73.686388888889,['Oct'],0,3,3
18282,Bhulbule Khola,Mid-Western Nepal,3.7,III,4.0,A,,4 h,5 h,,No,https://ropewiki.com/Bhulbule_Khola,229.659,0 minutes,,28.291111111111,84.369444444444,"['May', 'Jun', 'Oct', 'Nov']",0,0,0
40118,Sansapu Khola (Upper),Mid-Western Nepal,3.6,III,4.0,C,R,6.167 h,,,No,https://ropewiki.com/Sansapu_Khola_(Upper),124.672,,,28.366388888889,84.415277777778,,0,0,0
10272,East Yellow Dragon River,Hong Kong,3.0,III,,C1,,6 h,8 h,2.485 mi,No,https://ropewiki.com/East_Yellow_Dragon_River,147.638,,Passenger,22.271388888889,113.94833333333,"['Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct']",0,5,5
18279,Galung Khola,Central Nepal,3.0,III,4.0,B,,5 h,6 h,,No,https://ropewiki.com/Galung_Khola,164.042,0 minutes,,27.800277777778,85.915,"['Feb', 'Mar', 'Jan', 'Apr', 'Jun', 'Jul', 'Aug', 'Sep']",0,0,0
63723,Horyu Canyon ( inferior ),Wakayama,3.0,VI,4.0,C,,4 h,5 h,0.618 mi,No,https://ropewiki.com/Horyu_Canyon_(_inferior_),196.85,0 minutes,Passenger,33.703333333333,135.83083333333,,1,5,5
38461,Mureung Valley,South Korea,3.0,II,3.0,C1,R,3 h,,,Closed,https://ropewiki.com/Mureung_Valley,36.089,0 minutes,,37.452777777778,128.99472222222,"['Mar', 'Apr', 'May']",0,2,4
38458,Samaksan Canyon,South Korea,3.0,I,3.0,C1,,1 h,,,Restricted,https://ropewiki.com/Samaksan_Canyon,26.247,0 minutes,,37.8275,127.65888888889,"['Mar', 'Apr', 'May']",0,2,2
65363,Samcheok Guryong Falls (Dutasan),South Korea,3.0,II,3.0,C1,,,,,No,https://ropewiki.com/Samcheok_Guryong_Falls_(Dutasan),,,,37.410277777778,129.0425,,0,0,0
63740,Seikantou Canyon,Wakayama,3.0,II,4.0,B,,2.5 h,4 h,1.864 mi,No,https://ropewiki.com/Seikantou_Canyon,180.446,0 minutes,Passenger,33.703333333333,135.83083333333,,0,4,4
63742,Yoji Canyon,Mie,3.0,,4.0,C,,,,,No,https://ropewiki.com/Yoji_Canyon,124.672,0.5 minutes,Passenger,33.843055555556,135.92166666667,,0,5,5
63755,Kamogawa Canyon (inferior ),Shiga,2.0,,3.0,C,,,,,No,https://ropewiki.com/Kamogawa_Canyon_(inferior_),88.583,0 minutes,Passenger,35.267777777778,135.91805555556,,0,9,9
38331,Myeongji Canyon,South Korea,2.0,I,3.0,C1,,2 h,3 h,,Restricted,https://ropewiki.com/Myeongji_Canyon,22.966,0 minutes,,37.934722222222,127.46055555556,"['Mar', 'Apr', 'May']",0,1,3
65574,Ogawa Canyon,Mie,2.0,,4.0,B,,,,,No,https://ropewiki.com/Ogawa_Canyon,246.063,,Passenger,33.917222222222,136.02805555556,,0,3,3
63752,Yobai Canyon,Shiga,2.0,,4.0,B,,,,,No,https://ropewiki.com/Yobai_Canyon,187.008,0 minutes,Passenger,35.262222222222,135.95805555556,,0,4,4
41675,Kanzakigawa,Shiga,1.0,,3.0,B,,,,,No,https://ropewiki.com/Kanzakigawa,16.404,0.5 minutes,4WD - Very High Clearance,35.066388888889,136.40222222222,,0,0,0
65725,Nunobikino Canyon,Mie,1.0,,3.0,B,,,,,No,https://ropewiki.com/Nunobikino_Canyon,82.021,0 minutes,Passenger,34.683888888889,136.29305555556,,0,4,4
64067,Sekisui Canyon,Mie,1.0,,3.0,B,,,,,No,https://ropewiki.com/Sekisui_Canyon,,0.5 minutes,4WD - Very High Clearance,34.932222222222,136.39888888889,,0,0,0
63793,Shirokura Canyon,Nara,1.0,,3.0,B,,,,,No,https://ropewiki.com/Shirokura_Canyon,95.144,0 minutes,Passenger,34.222222222222,136.07333333333,,0,4,4
42352,Alap-Alap,East Java,0.0,,3.0,B,,,,,No,https://ropewiki.com/Alap-Alap,,,,-7.7038888888889,112.60611111111,,0,0,0
41107,Aling Gorges,Bali,0.0,,4.0,C1,,,,,No,https://ropewiki.com/Aling_Gorges,,,,-8.1727777777778,115.10444444444,,0,0,0
41071,Anahata,Bali,0.0,,4.0,B,,,,,No,https://ropewiki.com/Anahata,,,,-8.1636111111111,115.10277777778,,0,0,0
41072,Bali High,Bali,0.0,,4.0,C1,R,,,,No,https://ropewiki.com/Bali_High,,,,-8.1166666666667,115.08388888889,,0,0,0
41073,Bukit Tenget,Bali,0.0,,3.0,C1,,,,,No,https://ropewiki.com/Bukit_Tenget,,,,-8.3608333333333,114.62916666667,,0,0,0
41095,Chamje Khola,Mid-Western Nepal,0.0,,4.0,C4,XX,,,,No,https://ropewiki.com/Chamje_Khola,,,,28.453611111111,84.421388888889,,0,0,0
41094,Chipla Khola,Mid-Western Nepal,0.0,,4.0,C,,,,,No,https://ropewiki.com/Chipla_Khola,,,,28.4075,84.42,,0,0,0
42349,Coban Tundo,East Java,0.0,,4.0,C1,,,,,No,https://ropewiki.com/Coban_Tundo,,,,-8.3166666666667,112.80777777778,,0,0,0
41074,Dewih Bayah,Bali,0.0,III,4.0,B,R,,,,No,https://ropewiki.com/Dewih_Bayah,360.892,,,-8.1858333333333,115.22277777778,,0,18,18
65522,Garisangol,South Korea,0.0,II,3.0,C,PG,,,,Restricted,https://ropewiki.com/Garisangol,,,,38.118333333333,128.33611111111,,0,0,0
39269,Gwangdaegok,South Korea,0.0,,3.0,,,,,,No,https://ropewiki.com/Gwangdaegok,,,,37.314444444444,128.82,,0,0,0
65524,Gyeongbang Valley,South Korea,0.0,II,3.0,C,,,,,No,https://ropewiki.com/Gyeongbang_Valley,,,,36.310277777778,129.28388888889,,0,0,0
47596,Idosawa,Tokyo,0.0,I,3.0,B,PG,1.086 h,1.754 h,,No,https://ropewiki.com/Idosawa,65.617,0 minutes,Passenger,35.786666666667,139.12388888889,,0,4,4
65356,Jayang-2-gyo,South Korea,0.0,II,3.0,C1,PG,,,,Restricted,https://ropewiki.com/Jayang-2-gyo,,,,38.107222222222,128.37583333333,,0,0,0
39443,Jomurak Valley,South Korea,0.0,II,3.0,C1,,2 h,3 h,1.243 mi,No,https://ropewiki.com/Jomurak_Valley,26.247,0 minutes,High Clearance,37.987222222222,127.45722222222,"['Mar', 'Apr', 'May']",0,2,2
41075,Kali Anggrek,Bali,0.0,,4.0,C3,,,,,No,https://ropewiki.com/Kali_Anggrek,,,,-8.4541666666667,115.355,,0,0,0
41076,Kali Tenget,Bali,0.0,,4.0,C,,,,,No,https://ropewiki.com/Kali_Tenget,,,,-8.5366666666667,115.33138888889,,0,0,0
41108,Kirana,Bali,0.0,,4.0,B,,,,,No,https://ropewiki.com/Kirana,,,,-8.3405555555556,115.09194444444,,0,0,0
41070,Kothi Nala,Himachal Pradesh,0.0,III,3.0,C1,,,,,No,https://ropewiki.com/Kothi_Nala,,20 minutes,Passenger,32.317222222222,77.188333333333,"['Sep', 'Oct', 'Nov']",0,0,0
48610,Malisahan,Central Kalimantan,0.0,,4.0,C3,X,,,,No,https://ropewiki.com/Malisahan,,,,-0.78916666666667,113.92138888889,,0,0,0
41109,Mayadewa,Bali,0.0,,4.0,C,,,,,No,https://ropewiki.com/Mayadewa,,,,-8.3405555555556,115.09194444444,,0,0,0
46676,Ojang Falls,South Korea,0.0,,3.0,C,,,,,No,https://ropewiki.com/Ojang_Falls,114.829,0.5 minutes,,37.530277777778,128.74027777778,,0,4,6
42350,Ombak Canyon,West Nusa Tenggara,0.0,,4.0,C1,,,,,No,https://ropewiki.com/Ombak_Canyon,,,,-8.6511111111111,116.325,,0,0,0
41079,Singaraja,Bali,0.0,,4.0,C,,,,,No,https://ropewiki.com/Singaraja,,,,-8.1166666666667,115.08388888889,,0,0,0
48609,Taiji,Hubei,0.0,,4.0,C3,R,,,,No,https://ropewiki.com/Taiji,,,,32.746388888889,111.38166666667,,0,0,0
41106,Tamata,Bali,0.0,,3.0,B,,,,,No,https://ropewiki.com/Tamata,,,,-8.3405555555556,115.09194444444,,0,0,0
41080,Tenget,Bali,0.0,,4.0,C1,R,,,,No,https://ropewiki.com/Tenget,,,,-8.5375,115.12472222222,,0,0,0
42351,Tiu Rara,West Nusa Tenggara,0.0,,4.0,B,,,,,No,https://ropewiki.com/Tiu_Rara,,,,-8.5336111111111,116.34138888889,,0,0,0
65343,Tomakgol,South Korea,0.0,II,3.0,B,PG,,,,Restricted,https://ropewiki.com/Tomakgol,196.85,,,38.1625,128.46694444444,,0,3,3
41081,Tukad Api (Upper),Bali,0.0,,4.0,C,,,,,No,https://ropewiki.com/Tukad_Api_(Upper),,,,-8.2097222222222,115.08083333333,,0,0,0
41082,Tukad Hijau,Bali,0.0,,4.0,A,,,,,No,https://ropewiki.com/Tukad_Hijau,,,,-8.1791666666667,115.17027777778,,0,0,0
48518,Wutai,Taiwan,0.0,,4.0,C1,R,,,,No,https://ropewiki.com/Wutai,,,,22.635,120.33555555556,,0,0,0
65345,"Yongam Falls, Woraksan",South Korea,0.0,II,3.0,B,PG,,,,Restricted,"https://ropewiki.com/Yongam_Falls,_Woraksan",,,,36.836388888889,128.1075,"['Jul', 'Aug']",0,0,0
65351,"Yongdam Falls, Geumsusan",South Korea,0.0,I,3.0,C1,,,,,Restricted,"https://ropewiki.com/Yongdam_Falls,_Geumsusan",,,,36.976666666667,128.24055555556,,0,0,0
56750,Mordor Canyon,Bajos del Toro,5.0,III,4.0,C1,R,6 h,8 h,3.4 mi,Restricted,https://ropewiki.com/Mordor_Canyon,131.234,0 minutes,Passenger,10.200277777778,-84.251388888889,"['Jan', 'Feb', 'Mar']",0,14,14
51228,Gata Fiera,Bajos del Toro,4.7,III,4.0,C3,R,5 h,9 h,,No,https://ropewiki.com/Gata_Fiera,200.0,0.5 minutes,High Clearance,10.264166666667,-84.264166666667,"['Jan', 'Feb', 'Mar']",0,4,7
69305,Arroyo Blanco Canyon,Dominican Republic,5.0,III,3.0,C,PG,,,,No,https://ropewiki.com/Arroyo_Blanco_Canyon,82.021,0.5 minutes,High Clearance,19.526944444444,-70.483055555556,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,0,5
54965,Mordor Medio,Bajos del Toro,4.6,II,3.0,C1,,4 h,,1.9 mi,No,https://ropewiki.com/Mordor_Medio,82.021,0 minutes,Passenger,10.206666666667,-84.269444444444,"['Jan', 'Feb', 'Mar', 'Apr']",0,2,4
13994,Alma,Martinique,4.6,IV,4.0,C,,8 h,9 h,,No,https://ropewiki.com/Alma,131.234,4 minutes,,14.709166666667,-61.098611111111,"['Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun']",0,24,24
51221,Ciudad Esmeralda (aka La Vieja),La Fortuna,4.5,II,3.0,C2,,4 h,,0.6 mi,No,https://ropewiki.com/Ciudad_Esmeralda_(aka_La_Vieja),164.042,0.5 minutes,Passenger,10.268333333333,-84.431388888889,"['Jan', 'Feb', 'Mar']",0,2,2
51230,Gata Media Canyon,Bajos del Toro,4.4,III,3.0,C1,,5 h,6 h,2.6 mi,No,https://ropewiki.com/Gata_Media_Canyon,98.425,2 minutes,Passenger,10.249722222222,-84.26,"['Jan', 'Feb', 'Mar']",0,6,6
18181,Titou Gorge (Lower),Dominica,4.7,II,4.0,C1,R,,,0.808 mi,No,https://ropewiki.com/Titou_Gorge_(Lower),278.871,11 minutes,Passenger,15.328055555556,-61.33,"['Jun', 'Jul', 'Aug', 'Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Sep', 'Oct', 'Nov']",0,6,6
18180,Titou Gorge (Upper),Dominica,4.5,II,3.0,C1,,,,,No,https://ropewiki.com/Titou_Gorge_(Upper),65.617,0 minutes,Passenger,15.329722222222,-61.318611111111,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,1,4
69713,Cañon de la Virgen,Dominican Republic,4.4,II,3.0,C,,,,1.553 mi,No,https://ropewiki.com/Ca%C3%B1on_de_la_Virgen,39.37,0 minutes,Passenger,18.075555555556,-71.132777777778,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,5,7
69452,Barahuco Canyon,Dominican Republic,5.0,IV,3.0,C,R,,,,No,https://ropewiki.com/Barahuco_Canyon,164.042,30 minutes,High Clearance,18.084166666667,-71.169722222222,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,0,0
75094,Titou Gorge (Middle),Dominica,5.0,II,3.0,C,,,,0.559 mi,No,https://ropewiki.com/Titou_Gorge_(Middle),49.213,0 minutes,Passenger,15.328333333333,-61.327222222222,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,7,7
14186,Bois Malaise,Guadeloupe,3.8,III,4.0,C,,3.417 h,4.833 h,,No,https://ropewiki.com/Bois_Malaise,98.425,4 minutes,,16.1575,-61.749444444444,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,5,5
15145,Noire Vauchelet,Guadeloupe,3.7,II,3.0,C,,2 h,4.5 h,,No,https://ropewiki.com/Noire_Vauchelet,65.617,0.5 minutes,,16.034166666667,-61.687222222222,,0,8,8
14225,Bras de l'Aileron,Martinique,3.7,III,3.0,C,,,,,No,https://ropewiki.com/Bras_de_l%27Aileron,98.425,0 minutes,Passenger,14.808611111111,-61.158333333333,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul']",0,22,22
468,Nonequito Canyon,Turrialba,3.7,III,3.0,C,,5 h,,1.25 mi,No,https://ropewiki.com/Nonequito_Canyon,55.774,,Passenger,9.8055555555556,-83.672222222222,,0,4,7
14639,Ferry,Guadeloupe,3.3,II,4.0,C,,1.833 h,4.167 h,,No,https://ropewiki.com/Ferry,98.425,3 minutes,,16.284444444444,-61.768055555556,,0,7,7
15544,Soeurs,Martinique,4.0,III,4.0,C1,,6 h,7 h,,No,https://ropewiki.com/Soeurs,98.425,0 minutes,,14.805,-61.152777777778,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,24,24
43475,Blanche (Piton Dumauze),Martinique,4.8,III,3.0,C1,,,,3.1 mi,No,https://ropewiki.com/Blanche_(Piton_Dumauze),147.638,0.5 minutes,Passenger,14.697222222222,-61.104722222222,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,21,21
14208,Bourceau,Guadeloupe,3.1,II,3.0,B,,2.667 h,3.25 h,,No,https://ropewiki.com/Bourceau,82.021,0.5 minutes,,16.151111111111,-61.751944444444,,0,3,3
75860,Bonilla Canyon,Turrialba,4.5,III,4.0,C2,R,7 h,14 h,,No,https://ropewiki.com/Bonilla_Canyon,328.084,0.5 minutes,Passenger,10.022222222222,-83.690555555556,"['Jan', 'Feb', 'Mar', 'Apr']",0,6,7
15677,Valençant,Martinique,4.6,IV,4.0,C1,,10.583 h,13.25 h,,No,https://ropewiki.com/Valen%C3%A7ant,196.85,30 minutes,,14.832222222222,-61.166666666667,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun']",0,31,31
14549,Dufour,Guadeloupe,3.0,I,3.0,B,,1 h,2 h,,No,https://ropewiki.com/Dufour,82.021,0.5 minutes,,16.105555555556,-61.735,,0,6,6
462,Piedra (aka Lost) Canyon,La Fortuna,3.4,I,3.0,B,,2 h,,0.7 mi,Restricted,https://ropewiki.com/Piedra_(aka_Lost)_Canyon,120.0,0 minutes,Passenger,10.425277777778,-84.648888888889,,0,4,4
15067,Mitan (Middle),Martinique,3.5,III,3.0,B,,,,,No,https://ropewiki.com/Mitan_(Middle),147.638,0 minutes,Passenger,14.711388888889,-61.121111111111,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,17,17
13968,Acomat,Guadeloupe,2.7,I,3.0,C,,1.333 h,2.333 h,,No,https://ropewiki.com/Acomat,49.213,,,16.201666666667,-61.745833333333,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,0,0
69131,Gold Canyon,Bajos del Toro,3.0,III,3.0,C,,4 h,,3.1 mi,No,https://ropewiki.com/Gold_Canyon,131.234,0.5 minutes,High Clearance,10.240277777778,-84.255,"['Dec', 'Jan', 'Feb', 'Mar']",0,3,3
72191,Parismina Canyon,Costa Rica,5.0,II,3.0,C1,,,,,No,https://ropewiki.com/Parismina_Canyon,49.213,,,10.116388888889,-83.686388888889,,0,5,5
43358,Exbrayat,Martinique,4.3,III,4.0,B,,7 h,9 h,,No,https://ropewiki.com/Exbrayat,131.234,4 minutes,,14.705833333333,-61.108888888889,,0,22,23
